full_text	label_promo	label_category
@mwanual Haloo yuk jajan layout di @parkyoriii adaa diskon nihh dari tanggal 10-20 Oktober ️ Katalog 8K-10K ️ 7K ️ Katalog 11K-14K ️ 10K ️ Katalog 15K keatas ️ Diskon 30% QRIS only 17243 https://t.co/2QX2p4E7wF https://t.co/ciZMf5YFQg	1	6
@raihanaulia_rar Ah iya Lotte dulu kesini buat belanja bahan2 resto. Senengnya beli roti diskon 50% yg mau kadaluarsa masih ada ga ya?	1	0
@tokopedia yang paling ku tungguinnn ° ° Diskon 30% ° ° Extra potongan harga 200ribuu ° ° Dan pastii free ongkirrr JANGAN LUPA TOKOPEDIA HAPPI HOUR JAM 19.00-20.00 #tokopediahappyhour https://t.co/3dwdsSokia	1	6
[Promo Pagiii] Promo Shopee Food hari ini diskon sampai 85% dan gratis ongkir xtra hingga Rp 15.000. Promo spesial... Link shopee https://t.co/UYaAOf7zfG https://t.co/L3D1iku5jv	1	0
100% kulit sapi segar 100% bebas pemutih 100% bebas DETERJEN 100% bebas BATUK 100% money Back Guarantee 100% HALAL DISKON 100% Bebas Minyak Bekas Bantu repost/order thank you bisa instan Kota Bogor tiba 30 menit https://t.co/FNDacCp2Mk	1	6
Annyeong WITHMUU Chingu Bandung! Promo WITHMUU di Paris Van Java 14-20 Oktober! Dapatkan album K-Pop favoritmu dan peluang dapet Sign Poster & Selfie Time bareng Pagaehun! Yuk cek infonya disini! https://t.co/EwauSqJ5KE #WITHMUU #KPop #ParisVanJava	1	2
b1g1 19 oktober update jam 10.43 masih available tebusan dosa bisa buat semua dari sekarang sampe malem langsung wa aja ada di bio (contoh) 1 tiketnya 30k jadinya cuma bayar 30k doang udah dapet 2 tiket no fee no biaya app wts open jastip co https://t.co/m8ca6G7EMn	1	2
Bismillah Tokopedia Happy Hour di jam 19.00-20.00 promo 30% plus extra potongan harga hingga 200ribu and bebas ongkir dong mantap betul Tokopedia #tokopediahappyhour Tokopedia selalu ada selalu bisa	1	6
Cashback 75% dengan Allo Bank bikin top up makin mantap! Top up game favorit kamu di itemku pakai Allo Bank dan nikmati CASHBACK HINGGA 75% Jangan sampai ketinggalan promo ini cuma ada di itemku. Top up dulu baru #MAINKAN! *S&K Berlaku #Lapakgaming #AlloBank #MLBB https://t.co/pG4nAcmRtu	1	2
Celana Panjang Chinos Aerostreet ️ ambil di Lazkoin harga 50RB an https://t.co/7lTgLZAVYU tag. kebut voucher lazreward lazada vc diskon promo klaim potongan koin murah https://t.co/9pjBBnZZdk	1	3
Crop Top T-Shirt Aerostreet Baju Polos ️ ambil di Lazkoin 17RB an https://t.co/ZrNryCFVht tag. kebut voucher lazreward lazada vc diskon promo klaim potongan koin murah https://t.co/fVWKeKqod3	1	3
Dapatkan buku-buku menarik dan nikmati potongan harga spesial dari Gramedia Koleksi buku-buku favoritmu dengan potongan harga hingga Rp 70.000 - Promo berlangsung hingga 31 Oktober 2024 jangan lewatkan kesempatan ini! ‍️ https://t.co/J0nKXxif1g	1	2
GIVEAWAY SAMSUNG GALAXY A15 Hari ini ada Samsung Galaxy A15 senilai 2 8JT++. Mau? Caranya: - FOLLOW @ShopeeID - RT tweet ini - KLIK banner di bawah ini - REPLY sejak kapan kamu pakai Shopee dan apa promo favorit kamu? GOOD LUCK	1	4
gusy siapa yg baru tau kalo di Grab bs beli pulsa? ‍️ trus lagi diskon ditambah kode promo makin murah lg. maklum anak pertama hrs beliin pulsa buat adek & ortu. https://t.co/jnGAriNTC0	1	4
Hollowread Special Halloween Ini dia saatnya koleksi buku horor dan misteri yang baru! Spesial untuk Grameds ada diskon 20% untuk buku-buku terbaik pilihan Gramedia! : https://t.co/ynTbYbMOeh Yuk meluncur ke https://t.co/00XEE4iyEn dan bawa pulang buku favoritmu! https://t.co/TzZRbuckYg	1	2
Jajannya Hari Ini Bayarnya Nanti! Pakai Kredivo buat jajan skin dan item baru di itemku bisa dapet 𝗖𝗔𝗦𝗛𝗕𝗔𝗖𝗞 𝟱𝟬% Kapan lagi kan dapet promo kayak gini? Ayo top up dulu baru #MAINKAN! #itemku #kredivo #MLBB #PUBGM #FreeFire https://t.co/Nk8l36WN76	1	2
Jangan lupa diskon 50% maksimal Rp100.000 termurah di shopee Minimal pembelian Rp100.000 ⏰ Jam 12:00 Mincun kemarin beli ini Tws Soundcore R50i https://t.co/rN6gRCiRJC https://t.co/9nbAkkVT6E	1	6
Kabar baik! Promo Opening The People s Cafe hadir! Beli 1 Nasi Goreng Gila atau Teri Medan dapatkan GRATIS Nasi Ayam Geprek Komplit! Cuma sampai 27 Oktober 2024! Mampir ke Summarecon Mall Bandung dan Festival Citylink! ️ Yuk cek detailnya di sini https://t.co/uL2so8ch6K	1	0
MUST HAVE BOOKS Siap untuk memperkaya ilmu? Dapatkan diskon 20% untuk koleksi buku wawasan dan inspirasi pilihan Gramedia! Eksklusif di https://t.co/1dPp9ZA8g6 sampai 31 Oktober 2024. Yuk mulai perjalananmu menuju pengetahuan yang lebih dalam! https://t.co/MjaYi1wl2k	1	2
Promo Chatime GrabFood Super Brand Week! Dapatkan 2 Chatime Regular + Pearl cuma Rp47.000! Promo berlaku sampai 27 Oktober 2024 di GrabFood. Yuk buruan order sekarang! #PromoChatime #ChatimeGrabFood #SuperBrandWeek info selengkapnya ada di sini https://t.co/3VGYBkXS5T	1	0
Promo seru di Imperial Kitchen! Hanya dengan min. transaksi Rp 200.000++ nikmati Tahu Jamur Shimeji seharga Rp 25.000++! Berlaku dari 14-25 Oktober 2024 jadi ajak teman dan keluarga kamu untuk nikmati momen seru ini! ️ Jangan sampai ketinggalan! Cek syarat https://t.co/ZEeN6C6u5J	1	0
studio velvet gold satin special price bisa untuk semua film yang ada jadwalnya di special class the subtance smile 2 kuasa gelap home sweet loan hsl dll tiap lokasi beda film mau nonton sambil selonjoran sampe tiduran bisa bangett wts open jastip co https://t.co/FjwPnjMU4g	1	2
SUPER BIG MATCH ALERT! Pertandingan yang kita tunggu-tunggu akhirnya tiba! Dua raksasa sepak bola Indonesia Persib Bandung dan Persija Jakarta akan kembali bertemu dalam duel panas! Siap mendukung tim kebanggaanmo? Nggak cuma siapin semangat tapi juga harus siapin https://t.co/MvUXUYIKs0	1	6
yuk yang mau gestun gōpaylatér instan mumpung japonya udah jadi tgl 1 des! Bisa via CO/link payment sering 𝗧𝗘𝗠𝗕𝗨𝗦 di @swanu nombig ada diskon fee #ZonaUang [ X359 ]	1	6
#jersey4sale @JerseyLigina Jersey Persib Bandung Home ACL 2 2024 Original Player Issue BNWT Size : M (70.5 * 73 x 53 Harga Retail Rp. 799.000 Harga Diskon Rp. 499.000 Pengiriman dari Subang - Jawa Barat WA : 089602718787 https://t.co/ts9xE1VRIF	1	3
#shoppingstar #FRIDAY #home Cocok nih buat kamu yang suka santai tapi tampil kece PROMO 100 RIBU DAPET 3 PCS DRESS POLKADOT TERBARU 2024 BAJU GAUN WANITA MODEL DAN MOTIF DASTER KOREAN STYLE KEKINIAN Harga Produk: Rp99.000 Harga Diskon: Rp29.900 | https://t.co/rPlOcKxck9	1	3
#wts mari jajan! take bulk dapet diskon special dijamin dapet freebies sekebon juga giselle nya 55k for both udah incl all https://t.co/s6u9tfqx7W https://t.co/o49gQywYod	1	6
/ss wts perPCan skz yukk monggo di borong bisa req live/video beli banyak dapet diskon + bonus. Dom tangsel @ ada di pic https://t.co/UFVpsNlG83	1	4
@erinajajan harga incl all bisa req live xtra potongan up to 40k https://t.co/0KrVRAFlme	1	6
@RacunBelanja Promo transportasi pelantikan presiden & wakil presiden 20 Oktober 2024 *Transjakarta Rp.1 *MRT Rp.1 *LRT Jakarta ( rute veledrome-kelapa gading) Rp.1 https://t.co/jqVN4NKoNQ	1	5
@tokopedia Di jam 19.00-20.00 WIB setiap harinya dan yang ditunggu-tunggu adalah Promo Tokopedia Happy Hour diskon 30% + Ekstra Diskon s.d. Rp200ribu untuk kecantikan perawatan tubuh &  kesehatan! @tokopedia #tokopediahappyhour	1	1
@tokopedia Get your hands on the best discounts in town! Cuma di @tokopedia Serba-serbi Promo 10.10! Dijamin dapet deh ini ️10x Flash Sale 10rb 12 Kupon 100rb-1.2JT Klaim Diskon 50% s.d. 100rb 10rb Barang Diskon 50% 4x Bebas Ongkir Rp0 #PromoGuncangTokopedia	1	6
@tokopedia hari gini masih nanyain promo di tokopedia? YAELAH KEMANA AJA CUYY TENTU AJA DONG PROMO YG GWEH TUNGGU SI POCER DISKON 30% ENI LAH MANA GRATIS ONGKIR PULA LOVE BGT DEH TOKPED #tokopediahappyhour	1	6
